"Date","Price","Open","High","Low","Change %"
"Nov 24, 1982","1.0524","1.0524","1.0524","1.0524","-0.44%"
"Nov 23, 1982","1.0571","1.0571","1.0571","1.0571","0.28%"
"Nov 22, 1982","1.0541","1.0541","1.0541","1.0541","-0.42%"
"Nov 19, 1982","1.0585","1.0585","1.0585","1.0585","-0.37%"
"Nov 18, 1982","1.0624","1.0624","1.0624","1.0624","0.16%"
"Nov 17, 1982","1.0607","1.0607","1.0607","1.0607","-0.13%"
"Nov 16, 1982","1.0621","1.0621","1.0621","1.0621","-0.25%"
"Nov 15, 1982","1.0648","1.0648","1.0648","1.0648","0.05%"
"Nov 12, 1982","1.0643","1.0643","1.0643","1.0643","0.09%"
"Nov 11, 1982","1.0633","1.0633","1.0633","1.0633","0.19%"
"Nov 10, 1982","1.0613","1.0613","1.0613","1.0613","-0.66%"
"Nov 09, 1982","1.0684","1.0684","1.0684","1.0684","-0.24%"
"Nov 08, 1982","1.0710","1.0710","1.0710","1.0710","0.02%"
"Nov 05, 1982","1.0708","1.0708","1.0708","1.0708","0.00%"
"Nov 04, 1982","1.0708","1.0708","1.0708","1.0708","0.22%"
"Nov 03, 1982","1.0685","1.0685","1.0685","1.0685","0.11%"
"Nov 02, 1982","1.0673","1.0673","1.0673","1.0673","-0.14%"
"Nov 01, 1982","1.0688","1.0688","1.0688","1.0688","0.02%"
"Oct 29, 1982","1.0686","1.0686","1.0686","1.0686","-0.09%"
"Oct 28, 1982","1.0696","1.0696","1.0696","1.0696","0.15%"
"Oct 27, 1982","1.0680","1.0680","1.0680","1.0680","0.00%"
"Oct 26, 1982","1.0680","1.0680","1.0680","1.0680","0.15%"
"Oct 25, 1982","1.0664","1.0664","1.0664","1.0664","0.26%"
"Oct 22, 1982","1.0636","1.0636","1.0636","1.0636","0.13%"
"Oct 21, 1982","1.0622","1.0622","1.0622","1.0622","0.01%"
"Oct 20, 1982","1.0621","1.0621","1.0621","1.0621","0.44%"
"Oct 19, 1982","1.0574","1.0574","1.0574","1.0574","0.00%"
"Oct 18, 1982","1.0574","1.0574","1.0574","1.0574","-0.09%"
"Oct 15, 1982","1.0584","1.0584","1.0584","1.0584","0.38%"
"Oct 14, 1982","1.0544","1.0544","1.0544","1.0544","0.28%"
"Oct 13, 1982","1.0515","1.0515","1.0515","1.0515","0.30%"
"Oct 12, 1982","1.0484","1.0484","1.0484","1.0484","-0.22%"
