"Date","Price","Open","High","Low","Change %"
"Jan 11, 1993","0.6428","0.6428","0.6428","0.6428","-1.11%"
"Jan 08, 1993","0.6500","0.6500","0.6500","0.6500","0.14%"
"Jan 07, 1993","0.6491","0.6491","0.6491","0.6491","-0.11%"
"Jan 06, 1993","0.6498","0.6498","0.6498","0.6498","-0.44%"
"Jan 05, 1993","0.6527","0.6527","0.6527","0.6527","-2.06%"
"Jan 04, 1993","0.6664","0.6664","0.6664","0.6664","0.95%"
"Dec 31, 1992","0.6601","0.6601","0.6601","0.6601","-0.12%"
"Dec 30, 1992","0.6609","0.6609","0.6609","0.6609","-0.66%"
"Dec 29, 1992","0.6653","0.6653","0.6653","0.6653","1.99%"
"Dec 24, 1992","0.6523","0.6523","0.6523","0.6523","-0.11%"
"Dec 23, 1992","0.6530","0.6530","0.6530","0.6530","0.49%"
"Dec 22, 1992","0.6498","0.6498","0.6498","0.6498","1.59%"
"Dec 21, 1992","0.6396","0.6396","0.6396","0.6396","0.25%"
"Dec 18, 1992","0.6380","0.6380","0.6380","0.6380","0.84%"
"Dec 17, 1992","0.6327","0.6327","0.6327","0.6327","-0.09%"
"Dec 16, 1992","0.6333","0.6333","0.6333","0.6333","-0.71%"
"Dec 15, 1992","0.6378","0.6378","0.6378","0.6378","-0.16%"
"Dec 14, 1992","0.6388","0.6388","0.6388","0.6388","-0.34%"
"Dec 11, 1992","0.6410","0.6410","0.6410","0.6410","0.11%"
"Dec 10, 1992","0.6403","0.6403","0.6403","0.6403","0.30%"
"Dec 09, 1992","0.6384","0.6384","0.6384","0.6384","1.88%"
"Dec 08, 1992","0.6266","0.6266","0.6266","0.6266","-0.84%"
"Dec 07, 1992","0.6319","0.6319","0.6319","0.6319","-1.42%"
"Dec 04, 1992","0.6410","0.6410","0.6410","0.6410","0.25%"
"Dec 03, 1992","0.6394","0.6394","0.6394","0.6394","-0.93%"
"Dec 02, 1992","0.6454","0.6454","0.6454","0.6454","-1.48%"
"Dec 01, 1992","0.6551","0.6551","0.6551","0.6551","-0.74%"
"Nov 30, 1992","0.6600","0.6600","0.6600","0.6600","-0.30%"
"Nov 27, 1992","0.6620","0.6620","0.6620","0.6620","0.81%"
"Nov 26, 1992","0.6567","0.6567","0.6567","0.6567","0.32%"
"Nov 25, 1992","0.6546","0.6546","0.6546","0.6546","-0.74%"
"Nov 24, 1992","0.6595","0.6595","0.6595","0.6595","-0.09%"
"Nov 23, 1992","0.6601","0.6601","0.6601","0.6601","0.35%"
"Nov 20, 1992","0.6578","0.6578","0.6578","0.6578","0.81%"
"Nov 19, 1992","0.6525","0.6525","0.6525","0.6525","-0.56%"
"Nov 18, 1992","0.6562","0.6562","0.6562","0.6562","-0.55%"
"Nov 17, 1992","0.6598","0.6598","0.6598","0.6598","0.40%"
"Nov 16, 1992","0.6572","0.6572","0.6572","0.6572","1.61%"
"Nov 13, 1992","0.6468","0.6468","0.6468","0.6468","-1.66%"
"Nov 12, 1992","0.6577","0.6577","0.6577","0.6577","0.26%"
"Nov 11, 1992","0.6560","0.6560","0.6560","0.6560","-0.55%"
"Nov 10, 1992","0.6596","0.6596","0.6596","0.6596","0.90%"
"Nov 09, 1992","0.6537","0.6537","0.6537","0.6537","0.83%"
"Nov 06, 1992","0.6483","0.6483","0.6483","0.6483","-0.15%"
"Nov 05, 1992","0.6493","0.6493","0.6493","0.6493","0.67%"
"Nov 04, 1992","0.6450","0.6450","0.6450","0.6450","-0.08%"
"Nov 03, 1992","0.6455","0.6455","0.6455","0.6455","-0.83%"
"Nov 02, 1992","0.6509","0.6509","0.6509","0.6509","1.75%"
"Oct 30, 1992","0.6397","0.6397","0.6397","0.6397","0.53%"
"Oct 29, 1992","0.6363","0.6363","0.6363","0.6363","0.47%"
"Oct 28, 1992","0.6333","0.6333","0.6333","0.6333","-0.22%"
"Oct 27, 1992","0.6347","0.6347","0.6347","0.6347","0.83%"
"Oct 26, 1992","0.6295","0.6295","0.6295","0.6295","1.63%"
"Oct 23, 1992","0.6194","0.6194","0.6194","0.6194","0.60%"
"Oct 22, 1992","0.6157","0.6157","0.6157","0.6157","-0.60%"
"Oct 21, 1992","0.6194","0.6194","0.6194","0.6194","0.08%"
"Oct 20, 1992","0.6189","0.6189","0.6189","0.6189","0.80%"
"Oct 19, 1992","0.6140","0.6140","0.6140","0.6140","2.08%"
"Oct 16, 1992","0.6015","0.6015","0.6015","0.6015","2.28%"
"Oct 15, 1992","0.5881","0.5881","0.5881","0.5881","0.36%"
"Oct 14, 1992","0.5860","0.5860","0.5860","0.5860","0.53%"
"Oct 13, 1992","0.5829","0.5829","0.5829","0.5829","-0.82%"
"Oct 12, 1992","0.5877","0.5877","0.5877","0.5877","-0.20%"
"Oct 09, 1992","0.5889","0.5889","0.5889","0.5889","-0.44%"
