"Date","Price","Open","High","Low","Change %"
"Feb 04, 2020","1.4839","1.4943","1.4972","1.4830","-0.70%"
"Feb 03, 2020","1.4943","1.4947","1.4968","1.4905","0.00%"
"Jan 31, 2020","1.4943","1.4876","1.4963","1.4856","0.44%"
"Jan 30, 2020","1.4877","1.4808","1.4929","1.4803","0.48%"
"Jan 29, 2020","1.4806","1.4788","1.4848","1.4751","0.12%"
"Jan 28, 2020","1.4788","1.4792","1.4843","1.4776","-0.02%"
"Jan 27, 2020","1.4791","1.4671","1.4810","1.4643","1.00%"
"Jan 24, 2020","1.4644","1.4606","1.4669","1.4580","0.27%"
"Jan 23, 2020","1.4605","1.4611","1.4643","1.4535","-0.03%"
"Jan 22, 2020","1.4609","1.4609","1.4648","1.4581","0.00%"
"Jan 21, 2020","1.4609","1.4547","1.4615","1.4531","0.41%"
"Jan 20, 2020","1.4550","1.4514","1.4588","1.4512","0.00%"
"Jan 17, 2020","1.4550","1.4497","1.4554","1.4465","0.38%"
"Jan 16, 2020","1.4495","1.4482","1.4520","1.4417","0.06%"
"Jan 15, 2020","1.4486","1.4488","1.4542","1.4455","-0.03%"
"Jan 14, 2020","1.4490","1.4485","1.4523","1.4469","0.03%"
"Jan 13, 2020","1.4485","1.4498","1.4530","1.4448","-0.01%"
"Jan 10, 2020","1.4486","1.4584","1.4601","1.4467","-0.65%"
"Jan 09, 2020","1.4581","1.4564","1.4598","1.4530","0.11%"
"Jan 08, 2020","1.4565","1.4565","1.4604","1.4523","0.05%"
"Jan 07, 2020","1.4558","1.4409","1.4579","1.4401","1.03%"
"Jan 06, 2020","1.4409","1.4388","1.4440","1.4368","0.10%"
"Jan 03, 2020","1.4395","1.4298","1.4430","1.4286","0.66%"
"Jan 02, 2020","1.4300","1.4251","1.4331","1.4243","0.35%"
"Jan 01, 2020","1.4250","1.4240","1.4266","1.4220","0.06%"
"Dec 31, 2019","1.4242","1.4295","1.4299","1.4216","-0.38%"
"Dec 30, 2019","1.4297","1.4332","1.4346","1.4272","-0.24%"
"Dec 27, 2019","1.4331","1.4399","1.4407","1.4308","-0.47%"
"Dec 26, 2019","1.4398","1.4441","1.4454","1.4385","-0.37%"
"Dec 25, 2019","1.4451","1.4451","1.4465","1.4436","0.02%"
"Dec 24, 2019","1.4448","1.4448","1.4468","1.4427","0.02%"
"Dec 23, 2019","1.4445","1.4506","1.4511","1.4432","-0.34%"
"Dec 20, 2019","1.4495","1.4518","1.4528","1.4474","-0.18%"
"Dec 19, 2019","1.4521","1.4595","1.4606","1.4517","-0.49%"
"Dec 18, 2019","1.4592","1.4596","1.4622","1.4564","-0.01%"
"Dec 17, 2019","1.4594","1.4526","1.4627","1.4523","0.48%"
"Dec 16, 2019","1.4524","1.4509","1.4560","1.4493","-0.13%"
"Dec 13, 2019","1.4543","1.4476","1.4569","1.4409","0.48%"
"Dec 12, 2019","1.4474","1.4545","1.4562","1.4461","-0.47%"
"Dec 11, 2019","1.4543","1.4689","1.4699","1.4515","-0.97%"
"Dec 10, 2019","1.4685","1.4653","1.4705","1.4621","0.19%"
"Dec 09, 2019","1.4657","1.4619","1.4662","1.4610","0.24%"
"Dec 06, 2019","1.4622","1.4633","1.4656","1.4579","-0.08%"
"Dec 05, 2019","1.4633","1.4601","1.4660","1.4584","0.23%"
"Dec 04, 2019","1.4599","1.4606","1.4681","1.4585","-0.04%"
"Dec 03, 2019","1.4605","1.4667","1.4676","1.4569","-0.42%"
"Dec 02, 2019","1.4667","1.4784","1.4804","1.4650","-0.78%"
"Nov 29, 2019","1.4782","1.4769","1.4806","1.4747","0.07%"
"Nov 28, 2019","1.4772","1.4759","1.4796","1.4750","0.12%"
"Nov 27, 2019","1.4755","1.4729","1.4771","1.4724","0.16%"
"Nov 26, 2019","1.4732","1.4751","1.4775","1.4712","-0.12%"
"Nov 25, 2019","1.4750","1.4711","1.4779","1.4701","0.10%"
"Nov 22, 2019","1.4735","1.4735","1.4748","1.4694","-0.01%"
"Nov 21, 2019","1.4736","1.4702","1.4746","1.4673","0.24%"
"Nov 20, 2019","1.4700","1.4650","1.4728","1.4635","0.36%"
"Nov 19, 2019","1.4647","1.4682","1.4742","1.4631","-0.25%"
"Nov 18, 2019","1.4684","1.4664","1.4713","1.4651","0.14%"
