"Date","Price","Open","High","Low","Change %"
"Mar 28, 1990","0.8159","0.8159","0.8159","0.8159","-0.12%"
"Mar 27, 1990","0.8169","0.8169","0.8169","0.8169","-0.15%"
"Mar 26, 1990","0.8181","0.8181","0.8181","0.8181","0.26%"
"Mar 23, 1990","0.8160","0.8160","0.8160","0.8160","0.11%"
"Mar 22, 1990","0.8151","0.8151","0.8151","0.8151","-0.12%"
"Mar 21, 1990","0.8161","0.8161","0.8161","0.8161","0.69%"
"Mar 20, 1990","0.8105","0.8105","0.8105","0.8105","0.82%"
"Mar 19, 1990","0.8039","0.8039","0.8039","0.8039","-0.84%"
"Mar 16, 1990","0.8107","0.8107","0.8107","0.8107","-0.72%"
"Mar 15, 1990","0.8166","0.8166","0.8166","0.8166","-0.18%"
"Mar 14, 1990","0.8181","0.8181","0.8181","0.8181","-0.44%"
"Mar 13, 1990","0.8217","0.8217","0.8217","0.8217","0.67%"
"Mar 12, 1990","0.8162","0.8162","0.8162","0.8162","0.28%"
"Mar 09, 1990","0.8139","0.8139","0.8139","0.8139","-0.02%"
"Mar 08, 1990","0.8141","0.8141","0.8141","0.8141","-0.28%"
"Mar 07, 1990","0.8164","0.8164","0.8164","0.8164","0.42%"
"Mar 06, 1990","0.8130","0.8130","0.8130","0.8130","-0.18%"
"Mar 05, 1990","0.8145","0.8145","0.8145","0.8145","-0.57%"
"Mar 02, 1990","0.8192","0.8192","0.8192","0.8192","0.21%"
"Mar 01, 1990","0.8175","0.8175","0.8175","0.8175","0.89%"
"Feb 28, 1990","0.8103","0.8103","0.8103","0.8103","0.43%"
"Feb 27, 1990","0.8068","0.8068","0.8068","0.8068","-0.25%"
"Feb 26, 1990","0.8088","0.8088","0.8088","0.8088","0.66%"
"Feb 23, 1990","0.8035","0.8035","0.8035","0.8035","0.41%"
"Feb 22, 1990","0.8002","0.8002","0.8002","0.8002","0.13%"
"Feb 21, 1990","0.7992","0.7992","0.7992","0.7992","-0.51%"
"Feb 20, 1990","0.8033","0.8033","0.8033","0.8033","-0.04%"
"Feb 19, 1990","0.8036","0.8036","0.8036","0.8036","-0.50%"
"Feb 16, 1990","0.8076","0.8076","0.8076","0.8076","0.21%"
"Feb 15, 1990","0.8059","0.8059","0.8059","0.8059","0.41%"
"Feb 14, 1990","0.8026","0.8026","0.8026","0.8026","-0.42%"
"Feb 13, 1990","0.8060","0.8060","0.8060","0.8060","0.56%"
"Feb 12, 1990","0.8015","0.8015","0.8015","0.8015","-0.40%"
"Feb 09, 1990","0.8047","0.8047","0.8047","0.8047","0.27%"
"Feb 08, 1990","0.8025","0.8025","0.8025","0.8025","0.91%"
"Feb 07, 1990","0.7953","0.7953","0.7953","0.7953","-0.05%"
"Feb 06, 1990","0.7957","0.7957","0.7957","0.7957","-0.77%"
"Feb 05, 1990","0.8019","0.8019","0.8019","0.8019","-0.95%"
"Feb 02, 1990","0.8096","0.8096","0.8096","0.8096","0.35%"
"Feb 01, 1990","0.8068","0.8068","0.8068","0.8068","-0.21%"
"Jan 31, 1990","0.8085","0.8085","0.8085","0.8085","0.52%"
"Jan 30, 1990","0.8043","0.8043","0.8043","0.8043","0.10%"
"Jan 29, 1990","0.8035","0.8035","0.8035","0.8035","-0.90%"
"Jan 26, 1990","0.8108","0.8108","0.8108","0.8108","-0.17%"
"Jan 25, 1990","0.8122","0.8122","0.8122","0.8122","0.49%"
